Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Total_Students
5537,EAST MANJIMUP PRIMARY SCHOOL,CNR YOUNG/OCONNOR STREETS,MANJIMUP,WA,6258,O'CONNOR STREET,MANJIMUP,WA,6258,-34.24502646,116.151728,08 9771 9200,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,37,32,35,31,28,31,30,41,,,,,,,265
5342,EAST NARROGIN PRIMARY SCHOOL,HOMER STREET,NARROGIN,WA,6312,HOMER STREET,NARROGIN,WA,6312,-32.93547426,117.1883722,08 9882 1600,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,10,10,11,10,12,10,15,14,,,,,,,92
6065,EAST VICTORIA PARK EDUCATION SUPPORT CENTRE,30 BEATTY AVENUE,EAST VICTORIA PARK,WA,6101,30 BEATTY AVENUE,EAST VICTORIA PARK,WA,6101,-31.97884722,115.9080897,08 6228 0750,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,KIN,Y06,2,6,4,8,9,6,7,2,,,,,,,44
5445,EAST VICTORIA PARK PRIMARY SCHOOL,30 BEATTY AVENUE,EAST VICTORIA PARK,WA,6101,30 BEATTY AVENUE,EAST VICTORIA PARK,WA,6101,-31.97884722,115.9080897,08 6228 0700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,53,53,53,54,51,63,48,,,,,,,415
5681,EAST WAIKIKI PRIMARY SCHOOL,21 GIBB ROAD,COOLOONGUP,WA,6168,21 GIBB ROAD,COOLOONGUP,WA,6168,-32.3040885,115.7605364,08 9591 6600,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,49,44,33,50,48,54,52,,,,,,,370
5577,EAST WANNEROO PRIMARY SCHOOL,32 HIGH ROAD,WANNEROO,WA,6065,32 HIGH ROAD,WANNEROO,WA,6065,-31.7568505,115.8168149,08 6207 3600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,46,37,48,40,43,40,49,,,,,,,344
4182,EASTERN GOLDFIELDS COLLEGE,70 CASSIDY STREET,KALGOORLIE,WA,6430,LOCKED BAG 33,KALGOORLIE PO,WA,6433,-30.75101639,121.4753746,08 9092 3100,GOLDFIELDS,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,,,,,,,,,,,,,284,208,492
6078,EASTERN GOLDFIELDS EDUCATION SUPPORT CENTRE,BOOMERANG CRESCENT,KALGOORLIE,WA,6430,PMB 9,KALGOORLIE,WA,6433,-30.76705062,121.4788763,08 9092 0000,GOLDFIELDS,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,5,8,5,12,12,9,51
4017,EASTERN HILLS SENIOR HIGH SCHOOL,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,-31.87396818,116.2200892,08 9573 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,128,139,139,156,134,132,828
4161,EATON COMMUNITY COLLEGE,20 RECREATION DRIVE,EATON,WA,6232,20 RECREATION DRIVE,EATON,WA,6232,-33.3176055,115.7228908,08 9796 7000,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,66,84,92,87,102,53,484
5158,EATON PRIMARY SCHOOL,35 DIADEM STREET,EATON,WA,6232,PO BOX 345,BUNBURY,WA,6231,-33.32181891,115.7028431,08 9796 2600,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,52,61,52,53,58,43,59,,,,,,,419
5677,EDDYSTONE PRIMARY SCHOOL,LITTORINA AVENUE,HEATHRIDGE,WA,6027,LITTORINA AVENUE,HEATHRIDGE,WA,6027,-31.76706411,115.7690002,08 9406 5100,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,33,48,35,45,56,33,43,34,,,,,,,327
5159,EDEN HILL PRIMARY SCHOOL,83A IVANHOE STREET,EDEN HILL,WA,6054,83A IVANHOE STREET,EDEN HILL,WA,6054,-31.89291076,115.9456049,08 6455 0800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,46,51,53,55,53,69,58,,,,,,,425
5657,EDGEWATER PRIMARY SCHOOL,76 TREETOP AVENUE,EDGEWATER,WA,6027,76 TREETOP AVENUE,EDGEWATER,WA,6027,-31.76289339,115.7804131,08 6207 3200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,52,62,50,63,59,36,57,,,,,,,417
1021,EDMUND RICE COLLEGE,3398 BINDOON DEWARS POOL ROAD,BINDOON,WA,6502,3398 BINDOON DEWARS POOL ROAD,BINDOON,WA,6502,-31.31077578,116.1856818,08 9576 5500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,7,15,15,15,16,8,76
5699,EDNEY PRIMARY SCHOOL,204 NEWBURN ROAD,HIGH WYCOMBE,WA,6057,204 NEWBURN ROAD,HIGH WYCOMBE,WA,6057,-31.94734619,116.0069048,08 6216 4700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,56,33,57,55,52,58,57,47,,,,,,,415
5805,ELLEN STIRLING PRIMARY SCHOOL,23 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,23 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,-31.7702501,115.9750095,08 6497 4200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,69,65,67,96,78,83,88,,,,,,,586
1424,ELLENBROOK CHRISTIAN COLLEGE,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,-31.786783,115.959178,08 9297 9297,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,64,44,50,48,37,44,40,29,91,58,61,47,53,46,712
5745,ELLENBROOK PRIMARY SCHOOL,65 FORTESCUE PLACE,ELLENBROOK,WA,6069,LOCKED BAG 3 ELLENBROOK PO,ELLENBROOK,WA,6069,-31.7926892,115.9747992,08 9297 7300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,44,44,42,49,48,67,61,,,,,,,396
4177,ELLENBROOK SECONDARY COLLEGE,100 MAIN STREET,ELLENBROOK,WA,6069,100 MAIN STREET,ELLENBROOK,WA,6069,-31.78554916,115.9642807,08 9297 9700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,235,245,257,230,250,144,"1,361"
5161,EMBLETON PRIMARY SCHOOL,51 PRIESTLEY STREET,EMBLETON,WA,6062,51 PRIESTLEY STREET,EMBLETON,WA,6062,-31.90187965,115.909802,08 9338 9700,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,25,21,33,28,24,22,23,25,,,,,,,201
1432,EMMANUEL CATHOLIC COLLEGE,122 HAMMOND ROAD,SUCCESS,WA,6164,122 HAMMOND ROAD,SUCCESS,WA,6164,-32.12857818,115.8400696,08 9414 4000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,226,218,218,214,181,162,"1,219"
1288,EMMANUEL CHRISTIAN COMMUNITY SCHOOL,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,-31.84620429,115.8482622,08 9342 7377,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,54,59,49,60,56,60,47,62,64,58,56,51,42,31,749
1550,EMMAUS CATHOLIC PRIMARY SCHOOL,359 ARTHUR STREET,DAYTON,WA,6055,359 ARTHUR STREET,DAYTON,WA,6055,-31.84721343,115.9721543,08 9232 5000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,61,29,29,27,27,27,12,6,,,,,,,218
6152,ENDEAVOUR EDUCATION SUPPORT CENTRE,38 ENDEAVOUR DRIVE,PORT KENNEDY,WA,6172,38 ENDEAVOUR DRIVE,PORT KENNEDY,WA,6172,-32.37037017,115.7507254,08 9591 6100,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,KIN,Y06,3,7,7,9,10,13,14,4,,,,,,,67
5750,ENDEAVOUR PRIMARY SCHOOL,38 ENDEAVOUR DRIVE,PORT KENNEDY,WA,6172,38 ENDEAVOUR DRIVE,PORT KENNEDY,WA,6172,-32.37037017,115.7507254,08 9591 6100,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,47,44,49,57,43,44,49,,,,,,,388
5162,ENEABBA PRIMARY SCHOOL,DEWAR STREET,ENEABBA,WA,6518,"PO BOX 107, DEWAR STREET",ENEABBA,WA,6518,-29.82022038,115.2681635,08 9933 3200,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,3,2,5,2,3,2,2,1,,,,,,,20
1481,ESPERANCE ANGLICAN COMMUNITY SCHOOL,5 GRIFFIN STREET,ESPERANCE,WA,6450,5 GRIFFIN STREET,ESPERANCE,WA,6450,-33.87140172,121.8844588,08 9083 2444,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,66,45,49,43,31,18,252
1266,ESPERANCE CHRISTIAN SCHOOL,2 BLAKE STREET,ESPERANCE,WA,6450,2 BLAKE STREET,ESPERANCE,WA,6450,-33.86426103,121.8773873,08 9071 2703,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,8,3,6,9,4,8,2,6,,,,,,,46
6098,ESPERANCE EDUCATION SUPPORT CENTRE,PINK LAKE ROAD,ESPERANCE,WA,6450,PO BOX 696,ESPERANCE,WA,6450,-33.86017872,121.868258,08 9071 9560,GOLDFIELDS,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,1,1,2,3,5,2,14
5163,ESPERANCE PRIMARY SCHOOL,103 WINDICH STREET,ESPERANCE,WA,6450,PO BOX 150,ESPERANCE,WA,6450,-33.85981206,121.890272,08 9076 3600,GOLDFIELDS,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,37,62,50,50,60,68,64,64,,,,,,,455
4018,ESPERANCE SENIOR HIGH SCHOOL,PINK LAKE ROAD,ESPERANCE,WA,6450,PO BOX 465,ESPERANCE,WA,6450,-33.86017872,121.868258,08 9071 9555,GOLDFIELDS,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,145,132,140,132,159,124,832
1527,ETON FARM PRIMARY SCHOOL,145 SUMMERFIELD ROAD,SERPENTINE,WA,6125,145 SUMMERFIELD ROAD,SERPENTINE,WA,6125,-32.346434,115.982615,08 9503 2996,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y05,20,12,14,6,6,7,3,,,,,,,,68
5790,EXCELSIOR PRIMARY SCHOOL,63 SHREEVE ROAD,CANNING VALE,WA,6155,63 SHREEVE ROAD,CANNING VALE,WA,6155,-32.08181283,115.943661,08 6258 9300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,41,46,47,45,35,49,63,,,,,,,368
4077,EXMOUTH DISTRICT HIGH SCHOOL,CARPENTER STREET,EXMOUTH,WA,6707,PO BOX 105,EXMOUTH,WA,6707,-21.93316002,114.1242962,08 9947 8888,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,40,41,39,47,52,46,48,39,48,36,28,22,20,19,525
1518,FAIRBRIDGE COLLEGE,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,-32.60549898,115.9465216,08 9531 7932,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,5,21,35,42,22,27,152
5167,FAIRVIEW PRIMARY SCHOOL,VERNON STREET,COLLIE,WA,6225,PO BOX 364,COLLIE,WA,6225,-33.34837356,116.1685678,08 9735 2300,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,10,17,20,23,23,25,28,23,,,,,,,169
5706,FALCON PRIMARY SCHOOL,30 BALOO CRESCENT,WANNANUP,WA,6210,PO BOX 5018,FALCON,WA,6210,-32.59274022,115.6429808,08 9584 7100,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,68,60,76,75,71,72,57,,,,,,,534
5622,FALLS ROAD PRIMARY SCHOOL,50 FALLS ROAD,LESMURDIE,WA,6076,50 FALLS ROAD,LESMURDIE,WA,6076,-31.99216242,116.0470185,08 9291 2150,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,30,42,28,40,36,45,36,42,,,,,,,299
4149,FITZROY VALLEY DISTRICT HIGH SCHOOL,FLYNN DRIVE,FITZROY CROSSING,WA,6765,PO BOX 106,FITZROY CROSSING,WA,6765,-18.196468,125.566842,08 9163 8600,KIMBERLEY,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,19,18,15,14,23,19,11,30,11,17,13,14,11,8,223
5607,FLINDERS PARK PRIMARY SCHOOL,51 YATANA ROAD,ALBANY,WA,6330,51 YATANA ROAD,ALBANY,WA,6330,-34.97824017,117.9300686,08 9892 5200,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,44,37,46,46,55,57,57,,,,,,,362
5173,FLOREAT PARK PRIMARY SCHOOL,38 CHANDLER AVENUE WEST,FLOREAT,WA,6014,38 CHANDLER AVENUE,FLOREAT,WA,6014,-31.936844,115.79122,08 9205 5600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,57,69,85,81,75,74,89,,,,,,,590
5688,FOREST CRESCENT PRIMARY SCHOOL,83 FOREST CRESCENT,THORNLIE,WA,6108,83 FOREST CRESCENT,THORNLIE,WA,6108,-32.07607019,115.950007,08 9232 3550,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,77,88,62,83,90,86,90,84,,,,,,,660
5613,FORRESTDALE PRIMARY SCHOOL,35 BROOME STREET,FORRESTDALE,WA,6112,35 BROOME STREET,FORRESTDALE,WA,6112,-32.15362108,115.9485362,08 9397 8100,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,19,28,20,31,38,43,30,26,,,,,,,235
5174,FORRESTFIELD PRIMARY SCHOOL,45 SUSSEX ROAD,FORRESTFIELD,WA,6058,45 SUSSEX ROAD,FORRESTFIELD,WA,6058,-31.99141866,116.0088324,08 9483 2083,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,26,26,28,22,18,17,25,,,,,,,182
1412,FOUNDATION CHRISTIAN COLLEGE,115 WALDRON BLVDE,GREENFIELDS,WA,6210,115 WALDRON BLVDE,GREENFIELDS,WA,6210,-32.52931617,115.7622888,08 9586 5444,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,37,28,45,45,53,56,54,61,81,67,63,38,38,40,706
1470,FOUNTAIN COLLEGE,12 KARRI WAY,FERNDALE,WA,6148,12 KARRI WAY,FERNDALE,WA,6148,-32.03648539,115.9200109,08 9458 3555,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,22,27,28,39,36,48,57,51,51,52,53,54,45,31,594
1398,FRANCIS JORDAN CATHOLIC SCHOOL,25 PETERBOROUGH DRIVE,CURRAMBINE,WA,6028,25 PETERBOROUGH DRIVE,CURRAMBINE,WA,6028,-31.73113849,115.7384265,08 9305 4990,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,66,36,39,45,49,43,55,56,,,,,,,389
5176,FRANKLAND RIVER PRIMARY SCHOOL,1 EVANS STREET,FRANKLAND RIVER,WA,6396,C/- POST OFFICE,FRANKLAND RIVER,WA,6396,-34.36312,117.078601,08 9855 0500,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,7,6,9,4,10,6,6,11,,,,,,,59
1373,FREDERICK IRWIN ANGLICAN SCHOOL,36-66 GORDON ROAD,MANDURAH,WA,6210,36-66 GORDON ROAD,MANDURAH,WA,6210,-32.50869435,115.7530802,08 9537 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,95,105,90,90,90,90,113,122,176,175,155,167,140,134,"1,742"
1351,FREMANTLE CHRISTIAN COLLEGE,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,-32.0843654,115.7751984,08 9430 6635,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,30,20,25,19,24,26,32,31,61,60,50,52,20,30,480
4206,FREMANTLE COLLEGE,LEFROY ROAD,BEACONSFIELD,WA,6162,LEFROY ROAD,BEACONSFIELD,WA,6162,-32.06791,115.76798,08 9338 8900,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,205,224,243,219,216,209,"1,316"
6040,FREMANTLE LANGUAGE DEVELOPMENT CENTRE,24 WINNACOTT STREET,WILLAGEE,WA,6156,PO BOX 1031,WILLAGEE,WA,6156,-32.05149344,115.8043461,08 9312 4850,SOUTH METROPOLITAN,LANGUAGE DEVELOPMENT CENTRES,EDUCATION SUPPORT,KIN,Y03,23,51,60,57,30,,,,,,,,,,221
5420,FREMANTLE PRIMARY SCHOOL,1 BRENNAN STREET,FREMANTLE,WA,6160,1 BRENNAN STREET,FREMANTLE,WA,6160,-32.05883702,115.7535353,08 9432 1400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,29,25,28,36,31,37,34,,,,,,,240
5105,FRESHWATER BAY PRIMARY SCHOOL,CNR BAY VIEW TERRACE/PRINCESS ROADS,CLAREMONT,WA,6010,CNR BAY VIEW TERRACE/PRINCESS ROADS,CLAREMONT,WA,6010,-31.98588984,115.7823097,08 6458 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,61,42,70,55,39,44,51,,,,,,,400
5180,GAIRDNER PRIMARY SCHOOL,45 GAIRDNER ROAD SOUTH,GAIRDNER,WA,6337,45 GAIRDNER ROAD SOUTH,GAIRDNER,WA,6337,-34.2108414,118.9385849,08 9836 0400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y05,1,1,2,2,,1,2,,,,,,,,9
5181,GASCOYNE JUNCTION REMOTE COMMUNITY SCHOOL,36 GREGORY STREET,GASCOYNE JUNCTION,WA,6705,PMB 102,CARNARVON,WA,6701,-25.05320773,115.2083775,08 9943 1600,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y10,1,2,,1,,3,1,1,1,,,2,,,12
6159,GEOGRAPHE EDUCATION SUPPORT CENTRE,LOT 153 CLYDEBANK AVENUE,BUSSELTON,WA,6280,LOT 153 CLYDEBANK AVENUE,BUSSELTON,WA,6280,-33.66661113,115.3288339,08 9751 7803,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,KIN,Y11,1,1,6,6,1,7,3,2,9,3,4,5,5,,53
5775,GEOGRAPHE PRIMARY SCHOOL,CLYDEBANK AVENUE,BUSSELTON,WA,6280,CLYDEBANK AVENUE,BUSSELTON,WA,6280,-33.66661113,115.3288339,08 9751 7800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,52,47,52,46,60,57,51,,,,,,,403
1429,GEORGIANA MOLLOY ANGLICAN SCHOOL,2 HAWKER APPROACH,BUSSELTON,WA,6280,2 HAWKER APPROACH,BUSSELTON,WA,6280,-33.6606425,115.3815495,08 9752 5252,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,100,53,55,67,63,77,95,104,98,122,107,99,95,78,"1,213"
1292,GERALDTON CHRISTIAN COLLEGE,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,-28.75198509,114.6442673,08 9938 9100 ,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,23,30,28,18,34,38,30,40,47,47,57,34,35,25,486
1484,GERALDTON FLEXIBLE LEARNING CENTRE,15 BAYLY STREET,GERALDTON,WA,6530,15 BAYLY STREET,GERALDTON,WA,6530,-28.76770179,114.6188153,08 9965 2264,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,3,13,16,10,12,11,65
1403,GERALDTON GRAMMAR SCHOOL,134 GEORGE ROAD,GERALDTON,WA,6530,134 GEORGE ROAD,GERALDTON,WA,6530,-28.76195313,114.621025,08 9965 7800,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,57,28,25,33,36,37,41,47,75,74,61,60,54,46,674
5183,GERALDTON PRIMARY SCHOOL,75 FITZGERALD STREET,GERALDTON,WA,6530,PO BOX 7207,GERALDTON PO,WA,6531,-28.77863662,114.6080556,08 9968 1850,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,41,51,46,55,53,46,62,,,,,,,394
4163,GERALDTON SENIOR HIGH SCHOOL,CARSON TERRACE,GERALDTON,WA,6530,PMB 10100,GERALDTON PO,WA,6531,-28.78068474,114.6117092,08 9965 8400,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,92,152,140,172,161,124,841
5540,GIBBS STREET PRIMARY SCHOOL,79-93 GIBBS STREET,EAST CANNINGTON,WA,6107,79-93 GIBBS STREET,EAST CANNINGTON,WA,6107,-32.00835874,115.9537521,08 9473 9550,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,89,68,86,73,86,72,59,51,,,,,,,584
5726,GIDGEGANNUP PRIMARY SCHOOL,BUNNING ROAD,GIDGEGANNUP,WA,6083,PO BOX 119,GIDGEGANNUP,WA,6083,-31.79416905,116.1954072,08 9578 4000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,19,21,26,29,29,24,27,14,,,,,,,189
4031,GILMORE COLLEGE,DARGIN PLACE,ORELIA,WA,6167,PO BOX 86,KWINANA,WA,6966,-32.238266,115.814803,08 6595 2700,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,199,199,177,225,207,160,"1,167"
4135,GINGIN DISTRICT HIGH SCHOOL,1 DAW STREET,GINGIN,WA,6503,1 DAW STREET,GINGIN,WA,6503,-31.34427642,115.9123687,08 9575 5300,NORTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,21,28,27,37,32,28,37,28,23,28,30,12,4,2,337
4110,GIRRAWHEEN SENIOR HIGH SCHOOL,39 CALVERT WAY,GIRRAWHEEN,WA,6064,39 CALVERT WAY,GIRRAWHEEN,WA,6064,-31.83648977,115.8418703,08 9247 0555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,63,95,85,96,77,53,469
6011,GLADYS NEWTON SCHOOL,93 BALGA AVENUE,BALGA,WA,6061,93 BALGA AVENUE,BALGA,WA,6061,-31.85488957,115.847358,08 9413 1900,NORTH METROPOLITAN,Education Support Schools,EDUCATION SUPPORT,KIN,Y12,3,12,9,11,12,9,13,9,20,12,12,12,5,14,153
8367,GLEN FORREST COMMUNITY KINDERGARTEN,47A MARNIE ROAD,GLEN FORREST,WA,6071,47A MARNIE ROAD,GLEN FORREST,WA,6071,-31.90683334,116.1023159,08 9298 9250,NORTH METROPOLITAN,Community Kindergartens,COMMUNITY KINDERGARTENS,KIN,KIN,22,,,,,,,,,,,,,,22
5186,GLEN FORREST PRIMARY SCHOOL,TILLBROOK STREET,GLEN FORREST,WA,6071,TILLBROOK STREET,GLEN FORREST,WA,6071,-31.91537475,116.100319,08 9298 6200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,17,40,37,34,29,33,28,18,,,,,,,236
5769,GLEN HUON PRIMARY SCHOOL,MONASH BOULEVARD,EATON,WA,6232,MONASH BOULEVARD,EATON,WA,6232,-33.31523808,115.7261548,08 9796 7500,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,48,56,73,54,69,58,75,67,,,,,,,500
5655,GLENCOE PRIMARY SCHOOL,GLENCOE PARADE,HALLS HEAD,WA,6210,GLENCOE PARADE,HALLS HEAD,WA,6210,-32.54229018,115.7041404,08 9586 6800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,29,54,49,56,63,50,48,46,,,,,,,395
5534,GLENDALE PRIMARY SCHOOL,21 GLENDALE AVENUE,HAMERSLEY,WA,6022,21 GLENDALE AVENUE,HAMERSLEY,WA,6022,-31.84933302,115.8076235,08 9352 2700,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,37,50,40,40,35,36,35,,,,,,,328
5630,GLENGARRY PRIMARY SCHOOL,DOVERIDGE DRIVE,DUNCRAIG,WA,6023,25 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,-31.82816781,115.7820552,08 9378 5678,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,32,57,43,58,51,51,46,,,,,,,393
4078,GNOWANGERUP DISTRICT HIGH SCHOOL,YOUGENUP ROAD,GNOWANGERUP,WA,6335,YOUGENUP ROAD,GNOWANGERUP,WA,6335,-33.938232,118.00801,08 9827 3300,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,15,15,18,12,16,13,8,13,9,7,6,2,,,134
5838,GOLDEN BAY PRIMARY SCHOOL,9 THUNDELARRA DRIVE,GOLDEN BAY,WA,6174,PO BOX 690,MANDURAH,WA,6210,-32.42313769,115.7596842,08 9583 8800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,65,69,63,70,65,64,60,,,,,,,511
1390,GOLDEN HILL STEINER SCHOOL,222 SCOTSDALE ROAD,DENMARK,WA,6333,PO BOX 357,DENMARK,WA,6333,-34.94203668,117.3591392,08 9848 1811,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y08,13,7,12,12,9,15,21,14,7,13,,,,,123
1439,GOLDFIELDS BAPTIST COLLEGE,4 MAGUIRE STREET,KALGOORLIE,WA,6430,4 MAGUIRE STREET,KALGOORLIE,WA,6430,-30.77620533,121.4630845,08 9022 7535,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,13,14,17,19,24,24,12,17,29,28,29,31,,8,265
1245,GOOD SHEPHERD CATHOLIC PRIMARY SCHOOL,15 ARBUTHNOT STREET,KELMSCOTT,WA,6111,15 ARBUTHNOT STREET,KELMSCOTT,WA,6111,-32.12560377,116.0262673,08 9496 9200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,35,30,30,17,28,26,30,22,,,,,,,218
